S.No,Sentence,Annotator 1,Annotator 2,IAA,Char_Length,Word_Count,Is_English,label
5096,"And are people in DC legally allowed to carry their guns with them in a concealed manner, having them readily available like the rest of us do in the country?Absolutely not. According to DC your rights don't extend past your home, and it barely even exists inside your home.",Non-Sarcastic,Non-Sarcastic,Agree,274,49,True,Non-Sarcastic
5097,"It should be noted that other exotic amino acids are also used by a few other codes (derived form the original). E.g. Selenocysteine and pyrrolysine are encoded for in many archaea and vertebrates. Archaea, however seem to be the most primitive organisms, thus these encoded amino acids must have been fixated early on.Thus an interesting question can be applied to an ""evolving"" code as posited in the above quote:Are these ""still evolving"" mRNAs, still evolving? Or did it hit an inevitable global optimum? Secondly, from the article:",Non-Sarcastic,Non-Sarcastic,Agree,536,87,True,Non-Sarcastic
5098,"and on top of all that, trigger happy self appointed vigilantes oops! I mean: neighbourhood watchers emoticonXRolleyes
by the way, what's wrong with the secret services guys having some r&r ?? they were not on duty in any case ;)",Sarcastic,Sarcastic,Agree,230,40,True,Sarcastic
5099,"That link reads more like a children's story book than a science text.
I wondered what they could come up with, I guess the answer is nothing.
Waxy",Sarcastic,Sarcastic,Agree,149,28,True,Sarcastic
5100,good u not lied in 1 yr ....good progress.....but till what time.....? life can show any moment at any time......no one knows about it....not lieing is good but sometimes your truth can kill or hurt someone dear.....,Non-Sarcastic,Non-Sarcastic,Agree,216,37,True,Non-Sarcastic
5101,telling of what?....that some imaginative authors created fantasy stories wherein guns were unnecessary for the champions to win? that has no bearing on reality. i'm surprised that you tried to extend that into real life.,Sarcastic,Sarcastic,Agree,221,35,True,Sarcastic
5102,ignorant faux patriotism and racism do nothing to undermine the fact roosevelt knew.  all we're left with is the disgusting spectre of an authoritarian navy dropout who can't bear dealing with the facts about the man responsible for 2000 dead colleagues. do you apply the same non-logic to smear anyone who states bush knew there were no wmd in iraq? or is it only your favourite presidents who get a free pass on lying the public into war.,Non-Sarcastic,Non-Sarcastic,Agree,440,78,True,Non-Sarcastic
5103,I think that the type of weapon does make a difference. A tyrant would be more dangerous to the world if he was armed with WMDs rather than knives.,Non-Sarcastic,Non-Sarcastic,Agree,147,29,True,Non-Sarcastic
5104,"are they the ones going to nigeria and whose result of preachings there end up with gays getting killed? the funny thing is that in another thread, i challenged you for evidence that christians rebuke fred phelps... and here, it's obvious that you're punting on the issue of the christian involvement on the issue, providing an excellent example of you being guilty of what you tried to accuse gays of doing. emoticonxmad the irony of that statement is rather underwhelming. if the situation had been turned around between gays and christians, you would be beating this drum like a red-headed step child. emoticonxrolleyes",Sarcastic,Sarcastic,Agree,622,103,True,Sarcastic
5105,I dunno. Those Priuses are so small inside and out. How much explosive compound could Hasan fit into the thing and still be able to get in and drive it?,Sarcastic,Sarcastic,Agree,152,30,True,Sarcastic
5106,"it is no ""story""........i am debating on the whole evolution thing... look at the facts. so many great ppl, physics people, niels bohr, he was for evoulution, then he found out all of the facts that it is junk, so he became a christian",Non-Sarcastic,Non-Sarcastic,Agree,235,44,True,Non-Sarcastic
5107,What I find hard to believe is that politicians will place their decision above the right to life of a human person only for political expediency.,Non-Sarcastic,Non-Sarcastic,Agree,146,26,True,Non-Sarcastic
5108,if easyrider is so concerned about pedophilia (which he isn't he's just using it as a lame excuse to scapegoat homosexuals) why then doesn't he speak out again the catholic church and the cover up their doing on their sex scandals? you know who actively does care about the well being of these children? atheists. atheists like richard dawkins. wheres your slippery slope on morality now easy?,Sarcastic,Sarcastic,Agree,393,67,True,Sarcastic
5109,"I'm saying that if we assume reports that don't fit with science aren't true, then we can't use the filtered evidence to prove science is always true. Just like if I rejected as impossible any reports of Christians killing people and then said 'therefore Christians don't kill people'. The conclusion is made certain by the methodology.",Non-Sarcastic,Non-Sarcastic,Agree,336,56,True,Non-Sarcastic
5110,"No, not at all. Read the post above. 'Christmas cracker'?? What's that? Here, we have Fortune cookies.:)",Non-Sarcastic,Non-Sarcastic,Agree,104,17,True,Non-Sarcastic
5112,Right. It's called stasis. Species that are well adapted to their environments tend to change little in a stable environment. It is still true that fossil crocs are not the same as modern crocs. There are obvious differences.,Non-Sarcastic,Non-Sarcastic,Agree,225,38,True,Non-Sarcastic
5113,"then what are you doing in this thread? or to quote yourself: game, set, match, gamehuis is teh win!11@!@11 :p",Sarcastic,Sarcastic,Agree,110,20,True,Sarcastic
5114,"Hey, maybe some chosen by God religious fundamentalist will offer up his own daughters to be gang-raped, and then later have sex with those same daughters and children by them. You know, the way Lot did in the Bible. The one Peter called ""a righteous man"".",Sarcastic,Sarcastic,Agree,256,46,True,Sarcastic
5115,"We don't know for sure. Traditionally thought to be Homer but is probably from oral tradition. Single authorship itself is disputed. Beyond that, I don't know much about it.
 
 What is your point in asking this question?",Non-Sarcastic,Non-Sarcastic,Agree,222,37,True,Non-Sarcastic
5116,"i'm just surprised that 'compliment' is in your vocabulary... for that, i compliment you.",Sarcastic,Sarcastic,Agree,89,14,True,Sarcastic
5117,i guess i'm not really surprised at some of the reaction here: ignorant blather. i am dissappointed though. it's amazing what people will say about something with no knowledge of it. yes.,Non-Sarcastic,Non-Sarcastic,Agree,187,32,True,Non-Sarcastic
5118,"Actually, I snipped your remarks because 1) you twisted what I said and 2) I'm already spending too much time arguing with random complainers and I was in a hurry to do something more important at the time.",Non-Sarcastic,Non-Sarcastic,Agree,206,38,True,Non-Sarcastic
5121,Are there truly laws of logic?   Where are they encoded?,Non-Sarcastic,Non-Sarcastic,Agree,56,10,True,Non-Sarcastic
5123,"The range limit was 150 km and the Iraq Survey group said they flew further than that.
Plus, no comments on the missiles? It couldn't possibly be because you were wrong?",Sarcastic,Sarcastic,Agree,170,31,True,Sarcastic
5125,So what else is new? Does Texas support the death penalty?,Sarcastic,Sarcastic,Agree,58,11,True,Sarcastic
5126,And yet you have no problem with this law Galileo?,Sarcastic,Sarcastic,Agree,50,10,True,Sarcastic
5127,"Actually, you have slipped into talking Bible here and seem to be refering to the miracle of Lazarus.",Non-Sarcastic,Non-Sarcastic,Agree,101,18,True,Non-Sarcastic
5128,"How about getting the government out of marriage entirely? That is the goal of the libertarians, and maybe the liberals. No standards would be redefined if that happened, and gays would get their right to marry.",Non-Sarcastic,Non-Sarcastic,Agree,211,36,True,Non-Sarcastic
5129,You should try reading my posts. It would make you look like you know what you're talking about. ;),Sarcastic,Sarcastic,Agree,99,19,True,Sarcastic
5130,"As proved above by definition of reason above, it all depends on what premise or starting assumption you have as to what conclusion you will reason out. You are correct that faith does not neccessary require evidence. But there is usually always evidence to support the validity of a particular faith, in this case Christianity.",Non-Sarcastic,Non-Sarcastic,Agree,328,55,True,Non-Sarcastic
5131,"'IF' is the question. It suggests that Holy Tradition does not know the answer.   Secondly, the issue of the flood itself could still be true and tested scientifically... as to whether an historical Noah existed that you might consign to 'myth'.   Does anyone here not find it interesting that there is almost a universal factor in societies concerning a global flood?   PS I have already discussed M-Eve on another post.",Non-Sarcastic,Non-Sarcastic,Agree,421,70,True,Non-Sarcastic
5132,"not to me, but let's not quibble about things we can't change. let's talk about something that we can change...for a change. we could argue about it forever and never change one thing that's written. how about making a proposal suited to fit those whose religious beliefs tend to make us feel inferior? or passing legislation that more medical staff be trained in 'special' fields of medicine for certain diseases so that constant referrals won't bounce us off the walls.",Non-Sarcastic,Non-Sarcastic,Agree,471,80,True,Non-Sarcastic
5133,"Wow Archie, way to suck the fun out of something. Let me use your words here:
",Sarcastic,Sarcastic,Agree,79,16,True,Sarcastic
5134,"Yes. I believe it's a matter of personal individual freedom.   If purchased legally, and not used to commit a crime, what harm comes from handgun ownership? I don't own one, but I own many other guns. If they can ban handguns, what's to stop them from banning shotguns, or even BB guns?   I don't believe in a nanny state, taking away my toys ""for my own good"".   Waxy",Non-Sarcastic,Non-Sarcastic,Agree,368,68,True,Non-Sarcastic
5136,"Hey - you're the one who condones sinful, illicit gay-sex sodomy, which God himself calls a perversion, so you're the one who is spiritually and historically challenged. You're right in step with Satan, though, so you can really feel proud of that. LOL!
Romans 1:26-27",Sarcastic,Sarcastic,Agree,269,45,True,Sarcastic
